TeamID,Team,Year,OR,Prob,W,dPTS,Ring
0,Phoenix Suns,2005,0.139659381,0.122214431,62,1.565095493,0
1,Sacramento Kings,2005,0.012530193,0.010965038,50,0.438422998,0
2,Dallas Mavericks,2005,0.069959033,0.061220402,58,1.33870251,0
3,Miami Heat,2005,0.130556338,0.114248456,59,1.544467528,0
4,Boston Celtics,2005,0.009314713,0.008151206,45,0.155086468,0
5,Washington Wizards,2005,0.007446393,0.006516259,45,-0.128242031,0
6,Toronto Raptors,2005,0,0.005436867,33,-0.435594387,0
7,Denver Nuggets,2005,0.01294582,0.011328749,49,0.465255733,0
8,Orlando Magic,2005,0,0.005068469,36,-0.585613975,0
9,Philadelphia 76ers,2005,0.007053996,0.006172877,43,-0.210678289,0
10,Oklahoma City Thunder,2005,0.01423812,0.012459626,52,0.539674671,0
11,Los Angeles Lakers,2005,0,0.004743432,34,-0.751478118,0
12,Golden State Warriors,2005,0,0.005141598,34,-0.553107271,0
13,New York Knicks,2005,0,0.005033276,33,-0.601814615,0
14,Milwaukee Bucks,2005,0,0.004770246,30,-0.736252699,0
15,Minnesota Timberwolves,2005,0,0.010056065,44,0.363619868,0
16,Cleveland Cavaliers,2005,0,0.008537748,42,0.20493939,0
17,San Antonio Spurs,2005,0.489230383,0.428120279,59,1.936178821,1
18,Los Angeles Clippers,2005,0,0.006344262,37,-0.168130518,0
19,Houston Rockets,2005,0.03236002,0.028317908,51,1.024267901,0
20,Chicago Bulls,2005,0.010732896,0.009392243,47,0.300415682,0
21,Charlotte Bobcats,2005,0,0.003955907,18,-1.432523531,0
22,Memphis Grizzlies,2005,0.015868863,0.013886672,45,0.618335203,0
23,Detroit Pistons,2005,0.031214301,0.027315301,54,1.007112117,0
24,Indiana Pacers,2005,0.01015428,0.008885902,44,0.246050429,0
25,Utah Jazz,2005,0,0.004386295,26,-0.991004171,0
26,Portland Trail Blazers,2005,0,0.004474772,27,-0.924242454,0
27,Atlanta Hawks,2005,0,0.003543734,13,-2.326853636,0
28,New Jersey Nets,2005,0.006735269,0.005893962,42,-0.286877656,0
29,New Orleans Hornets,2005,0,0.003833937,18,-1.616777712,0
30,Phoenix Suns,2006,0.203382232,0.109712496,54,1.531949978,0
31,Oklahoma City Thunder,2006,0,0.005133279,35,-0.556729239,0
32,Washington Wizards,2006,0.022863927,0.012333715,42,0.531985631,0
33,Toronto Raptors,2006,0,0.005071544,27,-0.584215756,0
34,Denver Nuggets,2006,0.014791925,0.007979355,44,0.131303392,0
35,Miami Heat,2006,0.044930246,0.024237169,52,0.948136374,1
36,Los Angeles Lakers,2006,0.026048486,0.014051593,45,0.62654434,0
37,Philadelphia 76ers,2006,0,0.005569917,38,-0.388696241,0
38,Dallas Mavericks,2006,0.149305839,0.080541531,60,1.432963517,0
39,Sacramento Kings,2006,0.019279944,0.010400372,44,0.393381311,0
40,Golden State Warriors,2006,0,0.005941623,34,-0.273181687,0
41,Boston Celtics,2006,0,0.00575934,33,-0.327240306,0
42,Milwaukee Bucks,2006,0.011396479,0.006147716,40,-0.217181416,0
43,Chicago Bulls,2006,0.015221428,0.008211046,41,0.163122628,0
44,Cleveland Cavaliers,2006,0.022554317,0.012166699,50,0.521572164,0
45,Atlanta Hawks,2006,0,0.004282168,26,-1.077707321,0
46,Los Angeles Clippers,2006,0.018616962,0.010042733,47,0.362428889,0
47,Charlotte Bobcats,2006,0,0.004489074,26,-0.913974857,0
48,Detroit Pistons,2006,0.192249026,0.1037068,64,1.51439668,0
49,New York Knicks,2006,0,0.003914994,23,-1.490006777,0
50,San Antonio Spurs,2006,0.194268949,0.104796427,63,1.517670147,0
51,Orlando Magic,2006,0,0.005870699,36,-0.293672025,0
52,Indiana Pacers,2006,0.018491395,0.009974997,41,0.35633171,0
53,New Jersey Nets,2006,0.016288315,0.008786567,49,0.234655603,0
54,New Orleans Hornets,2006,0,0.004762535,38,-0.740598506,0
55,Utah Jazz,2006,0,0.004817938,41,-0.70993474,0
56,Memphis Grizzlies,2006,0.030310529,0.01635071,49,0.726446741,0
57,Minnesota Timberwolves,2006,0,0.005142867,33,-0.552556434,0
58,Houston Rockets,2006,0,0.005207838,34,-0.524925249,0
59,Portland Trail Blazers,2006,0,0.003538921,21,-2.34486798,0
60,Phoenix Suns,2007,0.391544714,0.449828754,61,1.952296591,0
61,Golden State Warriors,2007,0.007008629,0.00805191,42,0.141475171,0
62,Denver Nuggets,2007,0.010949922,0.012579891,45,0.546893573,0
63,Washington Wizards,2007,0.006437928,0.007396257,41,0.041730004,0
64,Los Angeles Lakers,2007,0.006828506,0.007844975,42,0.11193588,0
65,Memphis Grizzlies,2007,0,0.004290471,22,-1.070431645,0
66,Utah Jazz,2007,0.014020679,0.01610775,51,0.71699943,0
67,Sacramento Kings,2007,0,0.005740047,33,-0.333239292,0
68,Dallas Mavericks,2007,0.140823183,0.161785652,67,1.648741589,0
69,Milwaukee Bucks,2007,0,0.004435924,28,-0.952845779,0
70,Toronto Raptors,2007,0.007697236,0.008843021,47,0.241162887,0
71,Oklahoma City Thunder,2007,0,0.004964373,31,-0.634656431,0
72,Chicago Bulls,2007,0.030550135,0.035097726,49,1.121101351,0
73,San Antonio Spurs,2007,0.308199277,0.354076794,58,1.877027238,1
74,New Jersey Nets,2007,0.005394568,0.006197585,41,-0.204358525,0
75,New York Knicks,2007,0,0.004888331,33,-0.672759411,0
76,Houston Rockets,2007,0.025253574,0.029012737,52,1.035651128,0
77,Charlotte Bobcats,2007,0,0.004525583,33,-0.888377112,0
78,Cleveland Cavaliers,2007,0.01607613,0.01846917,50,0.800264154,0
79,Minnesota Timberwolves,2007,0,0.004515782,32,-0.895164946,0
80,Detroit Pistons,2007,0.017626624,0.020250464,53,0.852748419,0
81,Boston Celtics,2007,0,0.004590737,24,-0.844740255,0
82,Los Angeles Clippers,2007,0,0.006254709,40,-0.189992127,0
83,Indiana Pacers,2007,0,0.004968791,35,-0.632504564,0
84,New Orleans Hornets,2007,0,0.005421059,39,-0.441393335,0
85,Philadelphia 76ers,2007,0,0.004691272,35,-0.782032556,0
86,Orlando Magic,2007,0.006553633,0.007529185,40,0.063483539,0
87,Miami Heat,2007,0.005035261,0.005784793,44,-0.319410559,0
88,Portland Trail Blazers,2007,0,0.004269881,32,-1.088598627,0
89,Atlanta Hawks,2007,0,0.00414876,30,-1.204748924,0
90,Golden State Warriors,2008,0,0.01073229,48,0.420385767,0
91,Denver Nuggets,2008,0.015842334,0.01616042,50,0.719066925,0
92,Phoenix Suns,2008,0.025666752,0.026182095,55,0.986585782,0
93,Los Angeles Lakers,2008,0.077700193,0.079260275,57,1.427636469,0
94,Utah Jazz,2008,0.063089067,0.064355784,54,1.356396325,0
95,Orlando Magic,2008,0.03120842,0.031835029,52,1.078158817,0
96,Indiana Pacers,2008,0,0.005899274,36,-0.285336515,0
97,Sacramento Kings,2008,0,0.005390939,38,-0.452584166,0
98,New Orleans Hornets,2008,0.02919238,0.029778511,56,1.047751327,0
99,Memphis Grizzlies,2008,0,0.004120255,22,-1.234699769,0
100,Boston Celtics,2008,0.559704657,0.570942534,66,2.03694163,1
101,Dallas Mavericks,2008,0.021682343,0.022117686,51,0.900652624,0
102,Toronto Raptors,2008,0.012833828,0.013091509,41,0.57631584,0
103,Washington Wizards,2008,0.006686366,0.006820616,43,-0.063627598,0
104,Atlanta Hawks,2008,0.005550037,0.005661472,37,-0.358265111,0
105,Oklahoma City Thunder,2008,0,0.003767809,20,-1.735999933,0
106,Detroit Pistons,2008,0.089119082,0.090908435,59,1.472536675,0
107,Chicago Bulls,2008,0,0.0050183,33,-0.608823829,0
108,Charlotte Bobcats,2008,0,0.004559645,32,-0.865249311,0
109,Milwaukee Bucks,2008,0,0.004008162,26,-1.36438091,0
110,New York Knicks,2008,0,0.004054326,23,-1.308485886,0
111,Houston Rockets,2008,0.023192302,0.023657962,55,0.93579319,0
112,Philadelphia 76ers,2008,0.007532977,0.007684226,40,0.087812139,0
113,Cleveland Cavaliers,2008,0.006682342,0.006816512,45,-0.064453162,0
